Name, Email
Aiesec, cardiff@aiesec.co.uk
Airsoft Society, AirsoftSociety@Cardiff.ac.uk
Baking Society, bushnellla@cardiff.ac.uk
Bsl Society, BSL@cardiff.ac.uk
Cardiff University Investment Society, contact@cuic.co.uk
Coffee Society, societies@cardiff.ac.uk
Creative Writing Society, creativewriting@cardiff.ac.uk
Eurovision Society, eurovision@cardiff.ac.uk
Medieval Re-Enactment Society, medievalreenactment@cardiff.ac.uk
Ornithological Society, ornithologicalsociety@cardiff.ac.uk
Quiz Society, QuizSociety@cardiff.ac.uk
Bar Society, Barsoc@cardiff.ac.uk
English Literature Society, englishliteraturesociety@cardiff.ac.uk
French Society, frenchsociety@cardiff.ac.uk
Neuroscience Society, SUFinance@cardiff.ac.uk
Philosophy Society, philosophysociety@cardiff.ac.uk
Politics Society, politicssociety@cardiff.ac.uk
Sawsa - Architecture Society, sawsa@cardiff.ac.uk
Spanish And Latin American Society, SpanishLatinAmerican@cardiff.ac.uk
Tecsoc, etsoc@cardiff.ac.uk
Women In Law Society, womeninlawsociety@cardiff.ac.uk
African Caribbean Society, cardiffuniacs@gmail.com
Czech And Slovak Society, sufinance@cardiff.ac.uk
European Society, dacet@cardiff.ac.uk
Polish Society, PolishSociety@cardiff.ac.uk
St John Cymru-Wales Cardiff Links Division, LINKS@cardiff.ac.uk
Coppafeel Society, CoppaFeelSociety@cardiff.ac.uk
Cu Equal Opportunities Law Society, equalopportunitieslawsoc@cardiff.ac.uk
Students For Global Health - Cardiff, cardiff@studentsforglobalhealth.org
Midwifery Society, midwiferysociety@cardiff.ac.uk
Wilderness And Expedition Medicine Society, cardiffwems@gmail.com
A Cappella Society, Grantan@cardiff.ac.uk
Comedy Society, comedysociety@cardiff.ac.uk
Fad, fad@cardiff.ac.uk
Healthcare Music Society, connm@cardiff.ac.uk
Jazz Society, extencee@cardiff.ac.uk
Live Music Society, guroik@cardiff.ac.uk
Windband, oliver-browninge@cardiff.ac.uk
Christian Union, parfittr4@cardiff.ac.uk
Labour Students Society, bryanh1@cardiff.ac.uk
Housing Action, HousingAction@cardiff.ac.uk
Shag, StudentLedServices@cardiff.ac.uk
Student Minds, studentminds@cardiff.ac.uk
Gair Rhydd, editor@gairrhydd.com
Quench, editor@quenchmag.co.uk
