Name, Email
Ahmadiyya Society (Amsa), amsa.society@roehampton.ac.uk
Anime And Manga Society, anime.society@roehampton.ac.uk
Around The Roebe Society, aroundroebe.society@roehampton.ac.uk
Business Society, rsu@roehampton.ac.uk
Christian Union Society (Rcu), ChristianUnion.Society@roehampton.ac.uk
Computer Society, computer.society@roehampton.ac.uk
Dance Society, Dance.Society@roehampton.ac.uk
Dance Team Society, danceteam.society@roehampton.ac.uk
Desi Society, desisociety.roehampton@gmail.com
Elsa Roehampton Initiative Society, elsa.society@roehampton.ac.uk
E-Sports Society, esports.society@roehampton.ac.uk
First Love Society, firstlove.society@roehampton.ac.uk
Gaming Society, Gaming.Society@roehampton.ac.uk
God'S Church International Society, godschurch.society@roehampton.ac.uk
Hallyu Society, Hallyu.Society@roehampton.ac.uk
Islamic Society (Isoc), Isoc.Society@roehampton.ac.uk
Law Society, Law.Society@roehampton.ac.uk
Lego Society, lego.society@roehampton.ac.uk
Lgbtq+ Society, lgbtq.society@roehampton.ac.uk
Myths And Magick Society, magick.society@roehampton.ac.uk
Nigerian Society, nigerian.society@roehamton.ac.uk
Palestine Society, palestine.society@roehampton.ac.uk
Philosophy Society, Philosophy.Society@roehampton.ac.uk
Psychology Society, Psychology.Society@roehampton.ac.uk
Roe Snow Society, roesnow.society@roehampton.ac.uk
Roehampton Players Society, Roeplayers.Society@roehampton.ac.uk
Society Of African Students, society.african@roehampton.ac.uk
Student Radio Society, rsu@roehampton.ac.uk
Tamil Society, tamil.society@roehampton.ac.uk
Third Row Dance Society, thirdrow.society@roehampton.ac.uk
Ukrainian Society, Ukrainian.Society@roehampton.ac.uk
Vegan Society, vegan.society@roehampton.ac.uk
Wild Collective, wildcollective.soc@roehampton.ac.uk
