Name, Email
Abacus, brunelabacus@gmail.com
Acs, brunel.acs.media@gmail.com
Afghan, brunel.afghansociety@outlook.com
Ahlulbayt, brunelahlulbayt313@gmail.com
Anime, anime.brunel@gmail.com
Arab, brunelarabsoc@gmail.com
Astronomy, BrunelAstronomySoc@gmail.com
Bangladeshi, brunelbangladeshisociety@gmail.com
Believers Love World, Blwbrunel@gmail.com
Bio Sciences, brunelbiosciencesoc@outlook.com
Book Society, 1826124@brunel.ac.uk
Bright Futures, brunelbrightfuturesoc@outlook.com
Brumun, BruMUN2020@gmail.com
Brunel Art, brunelartsociety@gmail.com
Brunel Improv, brunelimprovsociety@gmail.com
Brunel Links First Aid, brunel@sja.org.uk
Brunel Polish, brunelpolishsoc1@gmail.com
Brunel Rotaract Club, brunelrotaract@gmail.com
Business, brunelbusinesssociety@gmail.com
Card, cardsociety.brunel@hotmail.com
Catholic, BruCathSoc@gmail.com
Chess, 1946725@brunel.ac.uk
Chinese Christian Fellowship, brunelbccf@gmail.com
Chinese Research And Postgraduate, bul.consultancy@gmail.com
Christian Union, brunelcu@gmail.com
Civil Engineering, Civil.Brunel@gmail.com
Conservative, brunelconservativesociety@gmail.com
Creative Photography, 1945326@brunel.ac.uk
Cult Film, Brunelcultfilm@outlook.com
Debate, externalcommsbruneldebatesoc@gmail.com
Design, 1912585@brunel.ac.uk
