Name, Email
A Cappella, acappella@imperial.ac.uk
Abacus, abacus@imperial.ac.uk
Activities For Children With Disabilities, icuacd@imperial.ac.uk
Acute Care Specialities, icaic@imperial.ac.uk
Aeronautics, aerosoc@imperial.ac.uk
African Caribbean, afro.caribbean@imperial.ac.uk
Ahlul Bayt, ahlul_bayt@imperial.ac.uk
Ahmadiyya Muslim Students Association, rizwan.qureshi18@imperial.ac.uk
Algorithmic Trading, algo.trade@imperial.ac.uk
Alternative Music, alt.music@imperial.ac.uk
American Football, american.football@imperial.ac.uk
Amnesty International, icuamnesty@imperial.ac.uk
Animal Protection And Education Society, ICU.APES@imperial.ac.uk
Animesoc, anime@imperial.ac.uk
Arabic, arabsoc@imperial.ac.uk
Archery, archery.club@imperial.ac.uk
Art Club, leonardo@imperial.ac.uk
Artsoc, artsoc@imperial.ac.uk
Asian Medical Students Association, asianmedstudents@imperial.ac.uk
Assassins Guild, assasins@imperial.ac.uk
Astronomy, astrosoc@imperial.ac.uk
Australian, australian@imperial.ac.uk
Badminton, badminton@imperial.ac.uk
Badminton (Medics), jc7217@ic.ac.uk
Badminton (Rsm), rsm.badminton@imperial.ac.uk
Baking, baking-society@imperial.ac.uk
Bangladeshi, bangladeshi@imperial.ac.uk
Barbell, ic.barbell@imperial.ac.uk
Baseball And Softball, baseball@imperial.ac.uk
Basketball, basketball@imperial.ac.uk
Big Band, bigband@imperial.ac.uk
Bike Users Group, bike-user@imperial.ac.uk
Bio Engineering, bioengsoc@imperial.ac.uk
Biochemistry, biochemsoc@imperial.ac.uk
Biology, biosoc@imperial.ac.uk
Biomedical, bmssoc@imperial.ac.uk
Blockchain And Crypto-Technologies, blockchain@imperial.ac.uk
Boat, killian-dawson18@imperial.ac.uk
Boat (Medics), killian.watkins17@imperial.ac.uk
Book, bookclub@imperial.ac.uk
Boxing, boxing@imperial.ac.uk
Bridge, bridgeclub@imperial.ac.uk
Bruneian, brunei@imperial.ac.uk
Buddhist, buddhist@imperial.ac.uk
Bulgarian, bulgarian@imperial.ac.uk
Cameroon Catalyst, cam.cat@imperial.ac.uk
Canoe, canoe@imperial.ac.uk
Catholic, cathsoc@imperial.ac.uk
Caving, ic.caving@imperial.ac.uk
Chamber Choir, chamber.choir@imperial.ac.uk
Chamber Music, chamber.music@imperial.ac.uk
Cheerleading, cheerleading@imperial.ac.uk
Chemical Engineering, chemengsoc@imperial.ac.uk
Chemistry, chemsoc@imperial.ac.uk
Chess, chess@imperial.ac.uk
Chinese, chinese@imperial.ac.uk
Chinese Students And Scholars Association, cssa@imperial.ac.uk
Choir, icchoir@imperial.ac.uk
Christian Medical Fellowship, samuel.bartram18@imperial.ac.uk
Christian Union, cu@imperial.ac.uk
Cinema, cinema@imperial.ac.uk
Civil Engineering, civsoc@imperial.ac.uk
Clinical Genetics, clinical.genetics@imperial.ac.uk
Coding (Medics), icsmcoding@imperial.ac.uk
Comedy Society, ICU.ComedySoc@imperial.ac.uk
Computational Biology, compbio@imperial.ac.uk
Computing, docsoc@imperial.ac.uk
Conservative, consoc@imperial.ac.uk
Consultancy, consultancysoc@imperial.ac.uk
Cricket, cricket.club@imperial.ac.uk
Cricket (Medics), medics.cricket@imperial.ac.uk
Cricket (Rsm), rsmcc@imperial.ac.uk
Cross Country And Athletics, run@imperial.ac.uk
Cycling, cycle@imperial.ac.uk
Cypriot, cypriotsoc@imperial.ac.uk
Czech And Slovak, czech.slovak@imperial.ac.uk
Dance - Belly Dancing, bellydancing@imperial.ac.uk
Dance - Funkology, funkology@imperial.ac.uk
Dance (Medics), icsmsu.dance@imperial.ac.uk
Dance Club, dance@imperial.ac.uk
Dance Company, dcompany@ic.ac.uk
Dance Imperial, dance.imperial@imperial.ac.uk
Data Science, icdss@ic.ac.uk
Debating, debate@imperial.ac.uk
Dermatology (Medics), dermatology.society@imperial.ac.uk
Design Engineering, dessoc@imperial.ac.uk
Dj And Production, music.tech@imperial.ac.uk
Dodgeball, dodgeball@imperial.ac.uk
Drama (Medics), imdrama@imperial.ac.uk
Dramsoc, techdir@dramsoc.org
Dronesoc, imperialdronesoc@imperial.ac.uk
E.Quinox, equinox@imperial.ac.uk
East African, east.african@imperial.ac.uk
Effective Altruism, effectivealtruism@imperial.ac.uk
El Salvador Project, salvador-project@imperial.ac.uk
Electrical Engineering, eesoc@imperial.ac.uk
Enactus, enactus@imperial.ac.uk
Endocrinology, endosoc@imperial.ac.uk
Energy, energysociety@imperial.ac.uk
Engineering Change, engchange@imperial.ac.uk
Entrepreneurs, entrepreneurs@imperial.ac.uk
Environmental, esoc@imperial.ac.uk
Erasmus, erasmus@imperial.ac.uk
Esports, iclesports@imperial.ac.uk
Every Nation Christian, everynation@imperial.ac.uk
Fashion And Design, fashionsoc@imperial.ac.uk
Felix, felix@imperial.ac.uk
Fellwanderers, fellsoc@imperial.ac.uk
Feminist, feminist@imperial.ac.uk
Fencing, fencing@imperial.ac.uk
Filipino Society, filipinosociety@imperial.ac.uk
Filmsoc, film@imperial.ac.uk
Finance, finsoc@imperial.ac.uk
Fintech, icfintech@imperial.ac.uk
First Aid, 1aidsoc@imperial.ac.uk
Floorball, floorball@imperial.ac.uk
Football - Mens, men.football@imperial.ac.uk
Football - Mens (Medics), medics.football@imperial.ac.uk
Football - Mens (Rsm), rsmfootball@imperial.ac.uk
Football - Womens, ladiesfootball@imperial.ac.uk
Football - Womens (Medics), medics.wfootball@imperial.ac.uk
Free Diving Society, freediving@imperial.ac.uk
French, french@imperial.ac.uk
Friends Of Médecins Sans Frontières, friends.msf@imperial.ac.uk
Friends Of Palestine, palestinian@imperial.ac.uk
Gaming, gaming@imperial.ac.uk
Gazette, icsm-gazette@imperial.ac.uk
Genetics And Genomics Society, genetics.genomics@imperial.ac.uk
Geology, geology.society@imperial.ac.uk
Geology For Global Development, Geo.GlobalDev@imperial.ac.uk
Geophysics, geophysoc@imperial.ac.uk
Geriatrics And Elderly Medicine, geriatrics.medicine@imperial.ac.uk
German, germanic@imperial.ac.uk
Gliding, gliding@imperial.ac.uk
Global Brigades, globalbrigades@imperial.ac.uk
Golf, golf.club@imperial.ac.uk
Gospel Choir, gospel.choir@imperial.ac.uk
Gradmed (Medics), gradmed.society@imperial.ac.uk
Guitar, guitar@imperial.ac.uk
Hammersmith Students' Community, hammersmithstudents@imperial.ac.uk
Handball, handball@imperial.ac.uk
Harry Potter Society, harrypottersociety@imperial.ac.uk
Hellenic, hellenic@imperial.ac.uk
Hindu Society, hindu@imperial.ac.uk
Hip Hop Society, hiphopsoc@imperial.ac.uk
History, history.society@imperial.ac.uk
Hockey, ic.hockey@imperial.ac.uk
Hockey (Rsm), rsmhockey@imperial.ac.uk
Hockey Mens (Medics), medics.hockey@imperial.ac.uk
Hockey Womens (Medics), rebecca.thompson17@imperial.ac.uk
Hungarian, hungarian@imperial.ac.uk
Ice Hockey, ice-hockey@imperial.ac.uk
Icsm Yoga, cxyoga@imperial.ac.uk
Ictv, ictv@imperial.ac.uk
Immunology, ICSMSU.Immunology@imperial.ac.uk
Imperial College Aid To The Balkans, icab@imperial.ac.uk
Indian, indian@imperial.ac.uk
Indonesian, indonesian@imperial.ac.uk
Infectious Diseases Society, infectiousdiseasessociety@imperial.ac.uk
Interact, interact@imperial.ac.uk
International Tamil, tamil@imperial.ac.uk
Investment, icu.investmentsociety@imperial.ac.uk
Iq (Imperial College Lgbt+), iq@imperial.ac.uk
Iranian, Iranians@imperial.ac.uk
Iraqi, iraqisoc@imperial.ac.uk
Irish, irish@imperial.ac.uk
Islamic, islam@imperial.ac.uk
Israeli, israeli.society@imperial.ac.uk
Italian, italian@imperial.ac.uk
Jain, jain.icu@imperial.ac.uk
Japanese, japanese@imperial.ac.uk
Jewish, jsoc@imperial.ac.uk
Jiu Jitsu (Aiuchi), medics.jitsu@imperial.ac.uk
Judo, judo@imperial.ac.uk
Ju-Jitsu, jitsu@imperial.ac.uk
Kabaddi, kabaddi@imperial.ac.uk
Karate Shotokan, shotokan@imperial.ac.uk
Kendo, kendo@imperial.ac.uk
Knitsock, knit.sock@imperial.ac.uk
Korean, korean@imperial.ac.uk
Krav Society, kravmaga@ic.ac.uk
Krishna Consciousness, kcsoc@imperial.ac.uk
Kung Fu, kung.fu@imperial.ac.uk
Labour, laboursoc@imperial.ac.uk
Lacrosse, lacrosse@imperial.ac.uk
Latin-American, latinam@imperial.ac.uk
Law, lawsoc@imperial.ac.uk
Lebanese, lebanese@imperial.ac.uk
Left Forum, icleft@imperial.ac.uk
Light Opera (Medics), light.opera@imperial.ac.uk
Live Music, jazz.rock@imperial.ac.uk
Magic, magic@imperial.ac.uk
Mahjong, mah.jong@imperial.ac.uk
Malaysian, malaysian@imperial.ac.uk
Management, managementsoc@imperial.ac.uk
Materials, mtsoc@imperial.ac.uk
Mathematics, mathssoc@imperial.ac.uk
Mechanical Engineering, guilds.mechsoc@imperial.ac.uk
Medical Education, medical.education@imperial.ac.uk
Mentality, mentality@imperial.ac.uk
Model United Nations, model.un@imperial.ac.uk
Motor (C And G), motor@imperial.ac.uk
Motor (Rsm), clem@imperial.ac.uk
Mountaineering, mountain@imperial.ac.uk
Muay Thai, kickboxing@imperial.ac.uk
Music (Medics), medics.music@imperial.ac.uk
Musical Theatre, musicaltheatre@imperial.ac.uk
Muslim Medics, muslimmedics@imperial.ac.uk
Netball, netball@imperial.ac.uk
Netball (Medics), medics.netball@imperial.ac.uk
Netball (Rsm), netball-president@imperial.ac.uk
Neuroscience, neuro@imperial.ac.uk
Nigerian, nigerian@imperial.ac.uk
Northern Society, northern@ic.ac.uk
Obstetrics And Gynaecology, og.careers@imperial.ac.uk
Orchestra - Sinfonietta, sinfonietta@imperial.ac.uk
Orchestra - Symphony, icso@imperial.ac.uk
Outdoor, outdoor@imperial.ac.uk
Overseas Christian Fellowship, ocfellow@ic.ac.uk
Pakistan, pakistan@imperial.ac.uk
Parkour Free Running And Gymnastics, parkour@imperial.ac.uk
Pass, hkpass@imperial.ac.uk
Pathology, icsmpathology@imperial.ac.uk
Pharmacology, icps@imperial.ac.uk
