Name, Email
93% Club Warwick, 93clubwarwick@gmail.com
A Cappella Society, wacasociety@gmail.com
Adhd Society, adhdsocwarwick@gmail.com
Africa Summit, africasummit@warwick.ac.uk
African And Caribbean Society, su225@sunion.warwick.ac.uk
Ahlulbayt Islamic Society, warwickabsoc@gmail.com
Aiesec, warwick@aiesec.co.uk
Allotment Society, algoliasearch@4.17
Amnesty, amnestywarwick@gmail.com
Anime And Manga, warwickanimesoc@gmail.com
Arab Society, su278@warwicksu.com
Art Soc, SU560@warwicksu.com
Astronomy Society, astronomy@warwicksu.com
Autism At Warwick, autismatwarwick@gmail.com
Bad Film Society, warwickbfs@gmail.com
Bandsoc, warwickbandsoc@gmail.com
Base Law, baselawsociety@gmail.com
Bengali, warwickbengalisociety@gmail.com
Big Band, exec@thebigband.co.uk
Biosoc, warwickbiosoc@gmail.com
Brass Society, president@brasssoc.com
Bridge, warwickuniversitybridgeclub@gmail.com
Bubble Tea Society, warwickbubbleteasociety@gmail.com
Bulgarian Society, warwick.bulgarians@gmail.com
Caribbean Culture Society, ccswarwick@gmail.com
Cathsoc, cath.soc@warwicksu.com
Cheese And Chocolate, warwickcheeseandchoc@gmail.com
Chemsoc, president@warwickchemsoc.co.uk
Chess, Warwickunichess@gmail.com
Chinese Society, warwickchinesesociety@outlook.com
Christian Union, secretary@warwickcu.org
Classics, classics.society@warwicksu.com
Climate Justice, climatejusticewarwick@gmail.com
Cobalt, cobalt.warwick@gmail.com
Coding Society, hello@warwickcodingsociety.com
Codpiece Theatre, su166@Warwicksu.com
Comedy, warwickcomedy@gmail.com
Comic Book Society, warwickcomicsociety1@gmail.com
Computing, su188@warwicksu.com
Craft, warwickcraftsoc@gmail.com
Creative Industries Society, creativeindustrieswarwick@gmail.com
Critical Lawyers At Warwick (Claw), claw.warwick.uk@gmail.com
Czech And Slovak, warwick.czsk@gmail.com
Darts Society, uowdarts@gmail.com
Daughters Of The East, algoliasearch@4.17
Discourse Society, hannah.guthrie@warwick.ac.uk
Drama Collective Society, dramacollectivesociety.society@warwicksu.com
Drumming Society, wrwck.drumsoc@gmail.com
Duke Of Edinburgh'S Award Society, dofewarwick@gmail.com
East African Society, eastafricansocietywarwick@gmail.com
Eastern European Society, warwickeasterneurosoc@gmail.com
Economics Society, contact@warwickeconomicssociety.com
Effective Altruism, eawarwick.society@gmail.com
Enactus Warwick Society, enactuswarwick@gmail.com
Engineers Without Borders Uk, su583@sunion.warwick.ac.uk
Epp Society, warwickeppsociety@gmail.com
Era - Vintage Society, U5562268@live.warwick.ac.uk
Esports, uowesports@gmail.com
European Society, su298@warwicksu.com
Fetish Society, warwickfetsoc@gmail.com
Filipino Society, warwick.filsoc@gmail.com
Film And Television Studies Society, filmsoc.warwick@gmail.com
Filmmaking Society, su972@warwicksu.com
First Love Warwick, algoliasearch@4.17
Folksoc, warwickfolksoc@gmail.com
Formula 1 Society, warwickf1soc@gmail.com
French Society, frenchsocwarwick@gmail.com
Gaana Dance Society, warwickgaanageneral@gmail.com
German Society, gsocwarwick@gmail.com
Go Society, warwickgosoc@gmail.com
Good Food Society, su458@warwicksu.com
Graphic Designing And Marketing Society, warwickgdms@gmail.com
Hip Hop Dance: Eqho, eqhodance@googlemail.com
History Of Art Society, su598@warwicksu.com
Histsoc, warwickhistorysociety@gmail.com
Homeless Action Society, homelessactionsociety@gmail.com
India Forum, coordinator@warwickindiaforum.org
Indian Classical Dance Society, warwickicd@outlook.com
