Name, Email
Ucl Aikido Club, aikido.club@ucl.ac.uk
Ucl American Football Club, su-americanfootballclub@ucl.ac.uk
Ucl Armenian Society, armenian.society@ucl.ac.uk
Ucl Art Society, art.society@ucl.ac.uk
Ucl Asiatic Affairs Society, uclasiaticaffairs@gmail.com
Ucl Barbell Club, uclubarbell@gmail.com
Ucl Basketball Club (Men'S), zctqdmc@ucl.ac.uk
Ucl Bulgarian Society, bulgarian-society@ucl.ac.uk
Ucl Caledonian Society, uclcalsoc@gmail.com
Ucl Calisthenics Club, su.calisthenics@ucl.ac.uk
Ucl Chilean Society, chilean.society@ucl.ac.uk
Ucl Chinese Students And Scholars Association Society, feedback@uclcssa.org
Ucl Chinese Traditional Painting And Calligraphy Society, uclctpc@163.com
Ucl Climbing And Mountaineering Club, climbing.ucl@gmail.com
Ucl Conservative Society, postmaster@uclconservatives.co.uk
Ucl Cricket Club (Rums), patel.17@ucl.ac.uk
Ucl Diplomacy Society, ucludiplomacy@gmail.com
Ucl Economics And Finance Society, Shivaum.Bapu@uclefs.com
Ucl European Horizons Society, ucl@europeanhorizons.org
Ucl European Law Students' Association, president.ucl@uk.elsa.org
Ucl German Society, info@germansociety.co.uk
Ucl Green Economy Society, info@greeneconomyucl.uk
Ucl Greenough Society, greenough.club@ucl.ac.uk
Ucl Guitar Society, su-guitarsociety@ucl.ac.uk
Ucl Hockey Club (Rums Women'S), rumswomenshockey.club@ucl.ac.uk
Ucl Ice Club, ice.club@ucl.ac.uk
Ucl Jazz Society, jazz.society@ucl.ac.uk
Ucl Judo Club, uczxjud@ucl.ac.uk
Ucl Karate Club, karate.club@ucl.ac.uk
Ucl Kendo Club, kendo.club@ucl.ac.uk
Ucl Kinesis Magazine, su-kinesismagazinesociety@ucl.ac.uk
Ucl Korean Culture Society, uclkculture@gmail.com
Ucl Lacrosse Club, lacrosse.club@ucl.ac.uk
Ucl Lacrosse Club (Men'S), su-menslax@ucl.ac.uk
Ucl Marxist Society, su-marxistsociety@ucl.ac.uk
Ucl Medieval Society, su.medieval@ucl.ac.uk
Ucl Mental Health Society, health.society@ucl.ac.uk
Ucl Network Against Domestic Abuse Society, su.nada@ucl.ac.uk
Ucl Nordic Society, uclnordicsociety@gmail.com
Ucl Opera And Ballet Appreciation Society, ballet.society@ucl.ac.uk
Ucl Personal Finance Society, personalfinancesociety.ucl@gmail.com
Ucl Pokémon Society, pokemon-society@ucl.ac.uk
Ucl Portuguese Speaking Society, su-portuguesespeakingsociety@ucl.ac.uk
Ucl Public Affairs And Social Service Society, uclpass.society@gmail.com
Ucl Pure Krav Maga Club, su-purekravmagaclub@ucl.ac.uk
Ucl Retail And Luxury Business Society, luxury-business@ucl.ac.uk
Ucl Savage Journal, hello.savagejournal@ucl.ac.uk
Ucl Sci-Fi And Fantasy Society, scifi.society@ucl.ac.uk
Ucl Singapore Society, uclsingsoc@gmail.com
Ucl Snowsports Club, su-snowsports@ucl.ac.uk
Ucl Somali Society, uclu.somsoc@gmail.com
Ucl Spanish And Latin American Society, ucluspanishandlatin@gmail.com
Ucl Sri Lankan Society, uclsrilankansoc@gmail.com
Ucl Stage Crew Society, su-stagecrew@ucl.ac.uk
Ucl Students For Global Health Society, ucl@studentsforglobalhealth.org
Ucl Swimming Club, swimming-club@ucl.ac.uk
Ucl Taekwondo Club, taekwondo@ucl.ac.uk
Ucl Tedx Appreciation Society, su.tedxappreciation@ucl.ac.uk
Ucl Unicef On Campus Society, unicef.ucl@gmail.com
Ucl Wash Society, su.washsociety@ucl.ac.uk
Ucl Writers' Society, su-youngwriters@ucl.ac.uk
