Name, Email
Accounting And Finance Society, hello@southbank.su
African Caribbean Society (Acs), hello@southbank.su
Architecture Society, hello@southbank.su
Bangladeshi Society, bangladeshsoc@lsbsu.org
Bar And Mooting Society, barandmootingsoc@lsbsu.org
Bollywood Society, hello@southbank.su
Business Management Society, hello@southbank.su
Chemical And Energy Engineering Society, hello@southbank.su
Computer Science And Engineering Society, hello@southbank.su
Debating Society, hello@southbank.su
Diagnostic Radiography Society, hello@southbank.su
Drama Society, hello@southbank.su
Economics And Finance Society, hello@southbank.su
Education Society, hello@southbank.su
Enactus Society, hello@southbank.su
European Law Students' Association, hello@southbank.su
Events And Entertainment Society, hello@southbank.su
Film Society, hello@southbank.su
First Love International, hello@southbank.su
French Society, hello@southbank.su
Gaming Anime And Comic, GACSOC@lsbsu.org
Hindu, hello@southbank.su
Islamic Society, islamicsoc@lsbsu.org
Lesbian Gay Bisexual And Trans +, lgbtqsoc@lsbsu.org
Lsbu Law Society, Lawsoc@lsbsu.org
Marketing Society, hello@southbank.su
Mechanical Engineering Society, hello@southbank.su
Midwifery Society, hello@southbank.su
Nursing Society, hello@southbank.su
Occupational Therapy Society, hello@southbank.su
Pakistan Society, hello@southbank.su
Physiotherapy Society, hello@southbank.su
Prison Abolitionist Reading Group, prisonabolition@lsbsu.org
Psychology Society, hello@southbank.su
R.A.G Team, hello@southbank.su
S.O.S Planet, hello@southbank.su
Salem Campus Fellowship Society, hello@southbank.su
Social Work Society, hello@southbank.su
South Bank Radio, hello@southbank.su
Sport Science And Coaching Society, hello@southbank.su
Student Scientific Network, hello@southbank.su
Tamil Society, hello@southbank.su
The National Bakery School Society, hello@southbank.su
Therapeutic Radiography Society, hello@southbank.su
Women In Stem, hello@southbank.su
