Name, Email
Acappella Society, guniacappella@gmail.com
Accounting Society, guaspresident@hotmail.com
Ace High Society, UGACE_@outlook.com
Adam Smith Economics Society, asesglasgowuni@gmail.com
Aeronautics, aeronautics@src.gla.ac.uk
African Caribbean Society (Guacs), guacs1@outlook.com
Alexandrian Society, gualexandriansociety@outlook.com
Alpha 26 Medic Year Club, alphayearclub@gmail.com
American And British Society, AmericanandBritishsociety@src.gla.ac.uk
American Veterinary Medical Association (Savma), vet-savma@gla.ac.uk
Amnesty International, mail@guamnesty.org.uk
Anaesthetics And Critical Care Society, glasgowanaestheticssociety@gmail.com
Anatomy Society, uofganatomysociety@gmail.com
Angels Society, angelssociety@src.gla.ac.uk
Angling Society, anglingsoc@src.gla.ac.uk
Antimicrobials And Antimicrobial Resistance Society, AAMRGU@gmail.com
Archaeology Society, gu_archsoc@hotmail.com
Art And Life Drawing Society, GUALDS@outlook.com
Art Society, artsociety@src.gla.ac.uk
Arts Crafts, guartscrafts@gmail.com
Asian Medical Students' Association Glasgow (Amsa), amsaglasgow@gmail.com
Association Of Women Surgeons, glasgow.aws@gmail.com
Astrology Society, astrologysocietygu@gmail.com
Astronomy Society, astrosoc.gu@gmail.com
Audio Electronics Society, audioelectronics@src.gla.ac.uk
Azerbaijan Society, azerbaijansociety2022@gmail.com
Bad Movie Society, dug1231@outlook.com
Baking Society, bakingsociety@src.gla.ac.uk
Ballroom And Latin Dancing Society, gublds@outlook.com
Bangladeshi Students' Society, bangladeshistudentsoc@src.gla.ac.uk
Bar And Advocacy Society, glaunibas@gmail.com
Believer'S Loveworld, blwglasgowuni@gmail.com
Bengali Society, bengalisoc@src.gla.ac.uk
Beta Year '27 Club, beta27yearclub@outlook.com
Bhakti Yoga Society, ugbysoc@gmail.com
Big Band, gubigband@gmail.com
Biomedical Engineering Society (Gubmes), gubmes@gmail.com
Bodybuilding Society, uofgbodybuilding@outlook.com
Boob Team, boobteam@src.gla.ac.uk
Botany Society, botanysociety@src.gla.ac.uk
Brighther Social Enterprise, brighther.se@gmail.com
British Asian Society, uofgbas@outlook.com
British Red Cross On Campus, BRConcampus@src.gla.ac.uk
Bulgarian Society, gubsoc@gmail.com
Business Club, businessclub@src.gla.ac.uk
Canadian Veterinary Medical Association, cvma.glasgowvetmed@gmail.com
Cannabis Society, Gucannabissoc@gmail.com
Capoeira Club, gucapoeiraclub@gmail.com
Cardiovascular Society, cardiovascular@src.gla.ac.uk
Catalan Society, uofgcatalasoc@gmail.com
Catholic Association, gucatholicassociation@gmail.com
Cecilian Society, universityaffairs@ceciliansociety.co.uk
Celebrate Palestine, celebratepalestine@src.gla.ac.uk
Celtic Supporters Club, CelticSupporters@src.gla.ac.uk
Central And Eastern European Society (Cees Society), ceessociety@gmail.com
Challenge For Change, challengeforchangeuofg@gmail.com
Charity Fashion Show, gucfs2024@gmail.com
Chess Society, guchesssoc@gmail.com
Chinese Christian Fellowship, christianfellowship.glasgow@yahoo.com
Chinese Students And Scholars Association, info@gcssa.uk
Christian Union, cusecretary@gmail.com
Civil Engineers, eng-guce@glasgow.ac.uk
Climbing Society, climbing@src.gla.ac.uk
Clinical Assessment And Practice (Cap) Group, glasgowuniversitycap@gmail.com
Clinical Endocrinology And Diabetes Society, gucendocrinology@gmail.com
Comic Creators Club, glasgowcomicclub@gmail.com
Communist Society (Gucs), glasgowunicommunists@gmail.com
Competitive Programming Society, competitiveprogramming@src.gla.ac.uk
Comunn Oiseanach, comunnoiseanach@gmail.com
Conservative And Unionist Association (Gucua), guconservatives@googlemail.com
Consulting Society (Gucs), guconsultingsociety@gmail.com
Contemporary Musicians United, gucmunited@gmail.com
Cosplay Society, uofgcossoc@outlook.com
Criminal Law Society, criminallawsociety@src.gla.ac.uk
Cubing, uofgcubing@gmail.com
Cymdeithas Cymry Glasgow (Glasgow Welsh Society), cymdeithascymryglasgow@gmail.com
Dance4Water, salsa4water@gmail.com
Dancemania, dancemaniaglasgow@gmail.com
Delta 24 Medicine Year Club, delta24yearclub@gmail.com
Democrats, uofgdems@gmail.com
Dermsoc Glasgow, glasgowdermsoc@gmail.com
Desi Society, glasgowuniversitydesisociety@gmail.com
Dialectic Society, dialecticsociety@googlemail.com
Digital Media And Information Studies (Dmis) Society, dmissociety@outlook.com
Dinner With A Stranger Society, dinnerwithastrangersociety@gmail.com
Doctor Who Society, uogdocsoc@gmail.com
Ear Nose And Throat Medicine Society (Ent), Otorhinolaryngologysoc@src.gla.ac.uk
Earth Sciences Society, guess.secretary@gmail.com
Economics And Social History Society (Esh), UofGESHSociety@outlook.com
Eco-Vehicle, eco.vehicle@src.gla.ac.uk
Educators Social Society, educatorssocialsoc@src.gla.ac.uk
Emergency Medicine Society (Guems), guemergencymedsoc@gmail.com
Emirati Society, emiratisg@gmail.com
Enactus Glasgow, enactusglasgow@gmail.com
Engineering Society, info@gues.org.uk
Engineers Without Borders, glasgow.chapter@ewb-uk-movement.org
Entrepreneurship Society, glasgowuniversityentrepreneurs@gmail.com
Environmental Law Society, gu.envlawsoc@gmail.com
Erasmus Student Network, esn.uofg@esnuk.org
Esports Society, gu.esports.society@gmail.com
European Society, glasgoweu@gmail.com
Evergreens, evergreens@src.gla.ac.uk
Exploration Society, explorationsocietygu@gmail.com
F1 Society, f1@src.gla.ac.uk
Fantasy Society, uofg.fantasysociety@gmail.com
Fashion Law Society, gufashionlawsociety@gmail.com
Fashion Revolution Society, gufashion.revolution@gmail.com
Fashion Society, gu.fashionsoc@gmail.com
Femeng, femeng@gues.org.uk
Feminist Society, gufems@gmail.com
Fertility Medicine Society, gufmspresident@gmail.com
Filmmaking Society, filmmaking@src.gla.ac.uk
First Love, firstloveglasgow@gmail.com
Food Co-Operative, glasgowunifoodcoop@gmail.com
Francophone Society, francsocgu@gmail.com
