Name, Email
Afghan Society, afghansociety.herts@gmail.com
Afro Caribbean Society, uhertsacs20@gmail.com
Anime And Manga Society, uhanimemangasociety@gmail.com
Baking Society, bakingsociety.herts@gmail.com
Book Club, uniofhertsbookclub@gmail.com
Catholic Society, uhcathsoc@gmail.com
Christian Union, uhsuchristianunion@gmail.com
Computer Science Society, uhcss@gmail.com
Conservative Society, hertsuniconservatives@gmail.com
Contagious Fire, contagiousfire@outlook.com
Education Society, hertsedusoc@gmail.com
Enactus Society, enactushertfordshire@gmail.com
Entrepreneur Society, uhentrepreneursociety@gmail.com
Hope Fellowship, hopehatfield@gmail.com
Japanese Society, uhjpsoc@gmail.com
K-Entertainment Society, uhk.entertainment@gmail.com
Labour Society, labouruh@gmail.com
Lgbt+ Society, lgbtas@gmail.com
Nigerian Students Society, societies@hertfordshire.su
Poetry Slam Society, UHpoetryslam@gmail.com
Politics Society, uohpolsoc@gmail.com
Redeemed Christian Fellowship, rcffellowship03@gmail.com
Salem Campus Fellowship Society, salemhertfordshire@hotmail.co.uk
School Of Creative Arts Society, society.uh@gmail.com
Society Of Psychology And Sport Sciences, greta.maz99@gmail.com
St John Ambulance Links, uh-su@sja.org.uk
Taekwondo Society, htasociety@gmail.com
The Green Movement Society, sustainable@herts.ac.uk
The Hult Prize, peggassepro@gmail.com
Unicef On Campus, unicef_uh@yahoo.com
United Herts Gospel Choir, societies@hertfordshire.su
